"","Taze","Vale"
"HTGTS_increased",53,43
"GRO_seq_increased",47,35
"RNA_seq_increased",49,42
"ATAC_increased",14,9
"Ace_increased",49,42
"HTGTS_decreased",8,11
"GRO_seq_decreased",1,7
"RNA_seq_decreased",1,2
"ATAC_decreased",7,8
"Ace_decreased",3,0
